date,amount,description
23-05-2025,"1,041",AIRTEL - Airtel broadband bill MUM
05-03-2025,"? 1,575",ATLASSIAN - Atlassian Jira AHM
10-03-2025,405,GITHUB - GitHub subscription UPI/PHKEP1
01-04-2025,50,NEFT - NEFT transfer MUM
27-11-2025,"2,095 INR",JIO - Jio fiber bill DEL
17-06-2025,? 676,MICROSOFT - Microsoft 365 Ref L9ACEV7F6W
11-05-2025,"1,177 INR",ZOOM - Zoom subscription Payment FDTTRN
01-12-2025,"5,114",AMAZON - Amazon office supplies BLR
21-10-2025,"6,280",VISTARA - Vistara flight UPI/7L5QIZ
22-08-2025,"3,302 INR",AWS - AWS cloud charges
17-04-2025,291 INR,BIGBASKET - BigBasket groceries BLR
30-12-2025,? 760,ZOOM - Zoom subscription AHM
28-07-2025,"2,275.45",ADOBE - Adobe subscription MUM
05-04-2025,500 INR,LEGAL - Legal services UPI/X63OKG
02-11-2025,"? 1,179",GITHUB - GitHub subscription DEL
04-07-2025,"4,528.26",GOIBIBO - Goibibo booking UPI/AQU83Q
29-08-2025,"2,024",ZOOM - Zoom subscription DEL
19-08-2025,630,ZOMATO - Zomato food order Txn XW7B9AB0AUQI
04-08-2025,571 INR,SPOTIFY - Spotify subscription ONLINE/B0O2N7
03-09-2025,"? 1,352",ZOOM - Zoom subscription AHM
13-06-2025,? 200,DMART - DMart groceries MUM
07-06-2025,"4,927",CA CONSULT - CA consultation BLR
09-12-2025,"2,440.88",JIO - Jio fiber bill
16-02-2025,81.03,HDFC - HDFC bank charge Ref XYQZD1BVRW
07-03-2025,"1,442 INR",WATER - Water bill
28-01-2025,"17,182 INR",GOOGLE CLOUD - Google Cloud billing POS/FR3J2A
08-03-2025,"1,735.11",ZOOM - Zoom subscription Payment 8BA4FV
06-06-2025,"? 3,257",AIRTEL - Airtel broadband bill DEL
11-11-2025,"1,398",AIRTEL - Airtel broadband bill POS/ZRD89Q
03-02-2025,"2,596",ELECTRICITY - Electricity bill
10-10-2025,"5,772 INR",LEGAL - Legal services Payment 7TSOIY
03-05-2025,"? 7,364.99",AMAZON - Amazon office supplies UPI/JBEFNO
31-01-2025,"? 1,629",BIGBASKET - BigBasket groceries POS/2VSP81
20-11-2025,488.32 INR,NETFLIX - Netflix subscription AHM
03-12-2025,"3,393 INR",ATLASSIAN - Atlassian Jira DEL
02-10-2025,200,SLACK - Slack subscription Ref 5KTAQ5KVV4
05-09-2025,"3,822",AIRTEL - Airtel broadband bill UPI/42IBLM
23-02-2025,"1,054",NOTION - Notion subscription AHM
03-05-2025,? 500,GOOGLE ADS - Google ads spend Ref CCSMFR8ZX0
22-08-2025,"9,031 INR",CA CONSULT - CA consultation DEL
07-02-2025,"? 4,535",FLIPKART - Flipkart office supplies Payment LQK0FX
14-08-2025,"4,583",INDIGO - IndiGo flight
06-09-2025,? 747,ATLASSIAN - Atlassian Jira UPI/409V37
29-05-2025,? 261,HDFC - HDFC bank charge BLR
04-11-2025,50 INR,NEFT - NEFT transfer MUM
17-11-2025,"? 8,123",GOIBIBO - Goibibo booking Ref AF20E3RKBT
08-11-2025,"? 23,308",META ADS - Meta ads spend ONLINE/88Y9OB
25-05-2025,681.31 INR,KFC - KFC meal Ref FSU5E3Q82G
25-06-2025,"2,376",SLACK - Slack subscription UPI/K0O69J
31-01-2025,500,CA CONSULT - CA consultation
17-05-2025,"? 1,171",JIO - Jio fiber bill POS/JDDID8
07-11-2025,"3,508 INR",GOIBIBO - Goibibo booking UPI/XVQ1EH
17-11-2025,682,ATLASSIAN - Atlassian Jira AHM
23-09-2025,"4,604 INR",VISTARA - Vistara flight UPI/HP0MV1
24-08-2025,"? 2,350",WATER - Water bill BLR
19-10-2025,72,SBI - SBI service charge
07-12-2025,"6,320",GOOGLE ADS - Google ads spend DEL
30-04-2025,"? 2,391",GOIBIBO - Goibibo booking ONLINE/PMMPGP
20-04-2025,"8,597",MAKEMYTRIP - MakeMyTrip booking
14-06-2025,95,HDFC - HDFC bank charge BLR
28-08-2025,"10,882",VISTARA - Vistara flight POS/Y6USFL
10-03-2025,592 INR,DOMINOS - Dominos pizza Ref 57EYVQI6AO
09-02-2025,"2,255 INR",BIGBASKET - BigBasket groceries AHM
27-09-2025,? 980,ELECTRICITY - Electricity bill ONLINE/RSBXSP
07-10-2025,73,ICICI - ICICI bank fee AHM
15-10-2025,"2,097 INR",DMART - DMart groceries
21-10-2025,"2,003.88 INR",ELECTRICITY - Electricity bill
01-11-2025,"4,235 INR",LEGAL - Legal services DEL
09-10-2025,? 200,GITHUB - GitHub subscription DEL
13-05-2025,"? 13,191",META ADS - Meta ads spend Txn N1MF57ARENDW
23-07-2025,"3,941",UPI - UPI transfer ONLINE/GDPHVR
08-04-2025,"? 18,318",META ADS - Meta ads spend DEL
18-04-2025,194,KFC - KFC meal MUM
16-02-2025,? 553.16,GAS - Gas bill DEL
13-11-2025,"1,327",MICROSOFT - Microsoft 365 Payment 9596TL
26-11-2025,? 727,ADOBE - Adobe subscription UPI/5B3N7N
07-07-2025,"17,954 INR",META ADS - Meta ads spend MUM
03-12-2025,"? 8,970",GOIBIBO - Goibibo booking MUM
02-02-2025,"7,065.34",GOOGLE CLOUD - Google Cloud billing POS/LH9UVE
19-04-2025,? 272,SBI - SBI service charge MUM
16-12-2025,? 125,SBI - SBI service charge POS/VL13U5
13-10-2025,? 115,HDFC - HDFC bank charge Ref VK5IMUMD26
13-07-2025,"? 1,200",MAKEMYTRIP - MakeMyTrip booking BLR
24-07-2025,? 64,SBI - SBI service charge BLR
18-07-2025,"? 10,831",MAKEMYTRIP - MakeMyTrip booking Ref 5T4XOCIP50
16-12-2025,? 298,NETFLIX - Netflix subscription AHM
27-08-2025,"1,440",GAS - Gas bill Payment OHC70S
29-06-2025,500,GOOGLE CLOUD - Google Cloud billing MUM
15-04-2025,? 121,SBI - SBI service charge Ref 1G4ZV42MAR
10-04-2025,? 988,NOTION - Notion subscription
15-06-2025,"3,198",FLIPKART - Flipkart office supplies MUM
03-06-2025,"2,261 INR",WATER - Water bill MUM
07-03-2025,500,CA CONSULT - CA consultation ONLINE/2SA2P3
22-11-2025,563,NETFLIX - Netflix subscription Txn UW1F77CK40TD
24-09-2025,"6,920.78",VISTARA - Vistara flight Payment 6KWFDU
21-07-2025,"? 1,231",DMART - DMart groceries MUM
02-03-2025,"? 9,583",GOOGLE ADS - Google ads spend POS/I2RM6W
01-06-2025,164,OLA - Ola ride AHM
12-12-2025,"? 1,024",DMART - DMart groceries Payment VEUYMT
05-07-2025,"? 2,194",FREELANCER - Freelance services Txn J7M3V5R3D4WB
15-06-2025,50,NEFT - NEFT transfer Ref 8J1XAZBTJU
07-10-2025,714,IRCTC - IRCTC train booking Ref 4XOOM3HZKC
03-09-2025,326,UBER - Uber trip Payment MUI6KB
02-09-2025,"12,878",INDIGO - IndiGo flight MUM
02-08-2025,"2,435",WATER - Water bill Payment LGCPEC
07-02-2025,"8,030 INR",LEGAL - Legal services Txn Z1WS2GTGSI0W
09-07-2025,"? 1,200",MAKEMYTRIP - MakeMyTrip booking BLR
04-06-2025,"? 1,368",ELECTRICITY - Electricity bill MUM
24-07-2025,468.66 INR,SPOTIFY - Spotify subscription UPI/7MD6N4
08-11-2025,? 737,KFC - KFC meal POS/L1N1VR
15-06-2025,"? 1,223",DMART - DMart groceries Txn ONMQ7OJEM60A
07-07-2025,"22,507",GOOGLE ADS - Google ads spend Txn 4AWTT27I79HB
05-08-2025,"? 2,485",ELECTRICITY - Electricity bill POS/3AXIKO
08-02-2025,"2,487 INR",ELECTRICITY - Electricity bill MUM
02-04-2025,"4,391 INR",INDIGO - IndiGo flight ONLINE/FWBCOU
30-05-2025,305,SLACK - Slack subscription POS/31ZJTT
21-11-2025,"2,975 INR",CA CONSULT - CA consultation AHM
05-10-2025,204.69,UBER - Uber trip POS/4FCJG7
11-02-2025,"? 2,403",RELIANCE FRESH - Reliance Fresh groceries POS/R0ZUYG
06-03-2025,"12,287",NEFT - NEFT transfer Txn M5KRN3MJVW15
11-03-2025,"2,892 INR",AIRTEL - Airtel broadband bill Txn JUOTSE9ZK7F4
13-04-2025,"? 1,145",RELIANCE FRESH - Reliance Fresh groceries Ref IQ1PXUUMHR
31-01-2025,"1,607 INR",RELIANCE FRESH - Reliance Fresh groceries MUM
02-12-2025,"6,874 INR",AWS - AWS cloud charges MUM
14-03-2025,? 142,SBI - SBI service charge
22-02-2025,"1,676",DMART - DMart groceries BLR
23-03-2025,"11,522 INR",UPI - UPI transfer ONLINE/WJSDGO
13-12-2025,"1,598",BIGBASKET - BigBasket groceries Payment 5E30JU
13-04-2025,"? 1,726",BIGBASKET - BigBasket groceries BLR
07-02-2025,? 943,IRCTC - IRCTC train booking UPI/MVC0BR
03-03-2025,"2,301",ATLASSIAN - Atlassian Jira AHM
28-01-2025,80 INR,STARBUCKS - Starbucks coffee Txn ARSI2O5OCDU1
06-07-2025,"2,186",GOIBIBO - Goibibo booking Txn SI5IVWLMFPTZ
12-07-2025,80 INR,ZOMATO - Zomato food order Ref EKJ310MCMD
26-07-2025,"? 9,424.89",LEGAL - Legal services DEL
30-08-2025,811,NOTION - Notion subscription Txn 45S8410KMOO1
15-09-2025,"8,567",GOIBIBO - Goibibo booking Ref 4FA85XYMKQ
06-06-2025,"5,729 INR",LEGAL - Legal services
09-11-2025,? 708,IRCTC - IRCTC train booking
03-01-2025,460,SPOTIFY - Spotify subscription UPI/GZVZ3E
07-10-2025,"15,708.09",META ADS - Meta ads spend AHM
05-08-2025,"? 9,673",UPI - UPI transfer Txn II6DXRYFXJU0
10-10-2025,"? 5,333",NEFT - NEFT transfer ONLINE/OWDNSM
27-02-2025,"? 1,512",SLACK - Slack subscription
13-03-2025,"7,423 INR",LEGAL - Legal services
15-03-2025,? 815.63,ADOBE - Adobe subscription ONLINE/4QIXY2
16-04-2025,"7,323",META ADS - Meta ads spend Txn 14M6MXHCBNYN
13-10-2025,"17,666 INR",GOIBIBO - Goibibo booking Ref WM3IW8DO2J
23-01-2025,"? 15,671",GOIBIBO - Goibibo booking POS/AA4VG5
30-01-2025,"? 1,530",RELIANCE FRESH - Reliance Fresh groceries MUM
04-03-2025,"1,200",INDIGO - IndiGo flight POS/VNLC7Q
24-02-2025,"? 10,860",VISTARA - Vistara flight
30-12-2025,"7,994",AWS - AWS cloud charges Ref FEHYIHM5AA
17-10-2025,153,KFC - KFC meal POS/AV6VOI
01-10-2025,"2,151",GAS - Gas bill AHM
20-06-2025,200,BIGBASKET - BigBasket groceries Ref LBLJCQI07G
04-04-2025,596.10 INR,KFC - KFC meal
28-04-2025,660 INR,SLACK - Slack subscription BLR
09-04-2025,"? 1,838",DMART - DMart groceries BLR
13-12-2025,? 167,HDFC - HDFC bank charge Txn MTH81DDSRXMJ
23-10-2025,"3,438",ELECTRICITY - Electricity bill MUM
02-12-2025,"? 3,419",AMAZON - Amazon office supplies ONLINE/NV297B
16-06-2025,"2,133",INDIGO - IndiGo flight Payment 2CCJXN
04-05-2025,"1,228",MICROSOFT - Microsoft 365 MUM
28-11-2025,353,ZOMATO - Zomato food order DEL
29-04-2025,"? 2,050.96",BIGBASKET - BigBasket groceries UPI/75XCBV
22-06-2025,"1,738 INR",GITHUB - GitHub subscription MUM
20-01-2025,890.04,SLACK - Slack subscription ONLINE/D8EXX8
27-12-2025,10,HDFC - HDFC bank charge Txn U5W2EZ0OOSS9
21-08-2025,? 462,BIGBASKET - BigBasket groceries MUM
29-03-2025,205 INR,NETFLIX - Netflix subscription Ref TJAS3PQNMJ
12-01-2025,"? 2,374",SLACK - Slack subscription POS/3BN4QU
15-08-2025,? 837,IRCTC - IRCTC train booking BLR
03-03-2025,? 200,SLACK - Slack subscription Payment BM4H5G
17-07-2025,310 INR,SPOTIFY - Spotify subscription MUM
06-04-2025,"2,142",GAS - Gas bill AHM
28-06-2025,314 INR,OLA - Ola ride AHM
03-06-2025,"1,985",WATER - Water bill ONLINE/ZUK2KW
27-12-2025,"3,957",VISTARA - Vistara flight Txn T34K0SJ96AL6
11-10-2025,"2,912.88",FREELANCER - Freelance services Payment URKAW2
14-08-2025,? 410,DOMINOS - Dominos pizza Txn L2CP132ZEBOZ
30-03-2025,"3,043 INR",FLIPKART - Flipkart office supplies BLR
14-08-2025,200,MICROSOFT - Microsoft 365
26-06-2025,"3,176",NOTION - Notion subscription AHM
15-08-2025,"1,938",MAKEMYTRIP - MakeMyTrip booking POS/NJVAYH
12-09-2025,"1,011 INR",WATER - Water bill POS/G1J6HX
24-12-2025,"1,200",INDIGO - IndiGo flight POS/FYHPI9
23-06-2025,989 INR,ADOBE - Adobe subscription
20-10-2025,332,SPOTIFY - Spotify subscription AHM
17-09-2025,? 50,UPI - UPI transfer UPI/JBDY7B
26-07-2025,"2,022.36 INR",ZOOM - Zoom subscription Ref 19WDSQCAES
08-01-2025,81,SBI - SBI service charge MUM
01-01-2025,"8,110 INR",FREELANCER - Freelance services DEL
23-02-2025,"? 1,682",FLIPKART - Flipkart office supplies ONLINE/2V1T5Q
10-10-2025,"? 2,019",SLACK - Slack subscription DEL
19-10-2025,? 586,KFC - KFC meal MUM
15-09-2025,290,SPOTIFY - Spotify subscription MUM
09-03-2025,"? 17,229",GOOGLE ADS - Google ads spend MUM
06-10-2025,"1,719 INR",NEFT - NEFT transfer UPI/S9ENS1
07-06-2025,"? 1,219.58",AIRTEL - Airtel broadband bill UPI/0EF4L3
16-06-2025,182,KFC - KFC meal UPI/JK7WPY
19-05-2025,"1,751",ELECTRICITY - Electricity bill AHM
01-12-2025,? 484,DOMINOS - Dominos pizza Ref XJ6C3WBLJ6
23-05-2025,"2,425",GAS - Gas bill DEL
20-04-2025,"? 1,138",SLACK - Slack subscription Txn 5WTR67TPC1NS
08-07-2025,67.05,UBER - Uber trip Payment ND981E
13-09-2025,"4,439 INR",INDIGO - IndiGo flight BLR
31-07-2025,464.24,STARBUCKS - Starbucks coffee UPI/9P10N6
02-08-2025,532 INR,NETFLIX - Netflix subscription DEL
06-02-2025,597,GOOGLE CLOUD - Google Cloud billing MUM
11-10-2025,509 INR,SWIGGY - Swiggy food order
03-07-2025,"3,574",GAS - Gas bill BLR
20-11-2025,168.03 INR,OLA - Ola ride Ref 91OROVIBKT
09-05-2025,? 349,ZOMATO - Zomato food order POS/6G4M5H
24-02-2025,50 INR,UPI - UPI transfer Payment TLH8VQ
23-08-2025,"? 2,714",ATLASSIAN - Atlassian Jira
05-01-2025,168 INR,ZOMATO - Zomato food order ONLINE/9QIXR5
27-12-2025,"11,899 INR",GOOGLE CLOUD - Google Cloud billing POS/7RZOI9
17-12-2025,"1,350",FLIPKART - Flipkart office supplies AHM
24-08-2025,"9,519",LEGAL - Legal services
29-03-2025,173,UBER - Uber trip MUM
23-04-2025,50 INR,UPI - UPI transfer ONLINE/2OCIOF
01-02-2025,"4,097 INR",AMAZON - Amazon office supplies Txn 9MX5R2OIM3VN
18-08-2025,? 112,HDFC - HDFC bank charge Payment IVKDDN
24-03-2025,? 50,UPI - UPI transfer ONLINE/67628O
16-09-2025,700 INR,IRCTC - IRCTC train booking POS/HM1P1P
08-08-2025,"1,109 INR",DOMINOS - Dominos pizza AHM
19-04-2025,"1,131",RELIANCE FRESH - Reliance Fresh groceries ONLINE/Y7W82M
12-08-2025,"? 7,788",IMPS - IMPS transfer POS/4VA4CP
07-08-2025,"? 5,641",CA CONSULT - CA consultation Ref 4PWIPD23PJ
08-07-2025,? 131,HDFC - HDFC bank charge Payment AO24V1
21-04-2025,"? 1,712",NOTION - Notion subscription Payment CDLTR5
22-05-2025,"? 2,721",ADOBE - Adobe subscription Payment 7XXPKC
19-02-2025,200,DMART - DMart groceries AHM
09-05-2025,"9,846",MAKEMYTRIP - MakeMyTrip booking AHM
20-05-2025,"2,676",MICROSOFT - Microsoft 365 ONLINE/NQENPF
17-10-2025,148.2,ICICI - ICICI bank fee ONLINE/HMKB8L
14-08-2025,? 257,IRCTC - IRCTC train booking AHM
07-01-2025,"3,829",GAS - Gas bill DEL
12-06-2025,455 INR,UBER - Uber trip Payment O56A07
25-01-2025,357,KFC - KFC meal MUM
06-01-2025,"10,104",GOIBIBO - Goibibo booking POS/9IAF18
12-10-2025,200 INR,NOTION - Notion subscription DEL
28-04-2025,"1,339",ZOOM - Zoom subscription MUM
28-07-2025,"1,902 INR",ADOBE - Adobe subscription ONLINE/4JY2VF
04-02-2025,742,AIRTEL - Airtel broadband bill UPI/ABHJCF
29-03-2025,"7,904.67 INR",CA CONSULT - CA consultation
18-03-2025,226,DOMINOS - Dominos pizza AHM
25-05-2025,"5,933.76",GOOGLE ADS - Google ads spend MUM
07-12-2025,"2,478",WATER - Water bill POS/DOH3XK
24-10-2025,255,STARBUCKS - Starbucks coffee MUM
18-09-2025,? 491,NETFLIX - Netflix subscription ONLINE/X8SJ26
27-01-2025,? 888,GITHUB - GitHub subscription DEL
12-05-2025,"22,782 INR",GOOGLE ADS - Google ads spend Txn UCM15CBWDQOI
16-08-2025,? 57,SBI - SBI service charge Payment D1QOZY
22-02-2025,"1,147",GITHUB - GitHub subscription UPI/65RVTM
24-01-2025,"? 2,106",GAS - Gas bill AHM
28-04-2025,574,KFC - KFC meal POS/HNFCQT
15-04-2025,"? 2,805",SLACK - Slack subscription Txn CGE0OIOWDN1W
20-09-2025,? 172,SBI - SBI service charge BLR
11-06-2025,85.30 INR,SWIGGY - Swiggy food order Txn NXQECBLS44LR
07-10-2025,? 200,BIGBASKET - BigBasket groceries DEL
05-09-2025,"8,105.50",VISTARA - Vistara flight UPI/LR4KN3
07-08-2025,"4,105",AMAZON - Amazon office supplies POS/U8I2KG
02-07-2025,625,ADOBE - Adobe subscription Txn ODZJI8ASYS92
29-11-2025,"? 1,789",NOTION - Notion subscription
18-03-2025,"9,257",CA CONSULT - CA consultation AHM
05-02-2025,"2,348.84 INR",FLIPKART - Flipkart office supplies UPI/N2HZWS
09-03-2025,"1,266",WATER - Water bill POS/7S6LTM
08-05-2025,"1,845",INDIGO - IndiGo flight POS/QMBBVN
23-06-2025,237,STARBUCKS - Starbucks coffee ONLINE/QIJFBX
26-07-2025,"13,391",GOIBIBO - Goibibo booking Txn OBM7444OIIWJ
02-08-2025,"2,318.12",ATLASSIAN - Atlassian Jira Txn O5ZCYT3Y1R6N
16-05-2025,? 141,SWIGGY - Swiggy food order ONLINE/R0YVGA
21-12-2025,268,UBER - Uber trip AHM
30-04-2025,"1,558 INR",ATLASSIAN - Atlassian Jira MUM
21-03-2025,"1,320",NOTION - Notion subscription DEL
