date,amount,description
2025-05-14,"₹2,050",BIGBASKET - BigBasket groceries DEL
2025-04-21,657,MICROSOFT - Microsoft 365 POS/ZBXFV7
2025-06-06,"1,295 INR",WATER - Water bill ONLINE/3GCG1J
2025-03-27,"3,231",MAKEMYTRIP - MakeMyTrip booking DEL
2025-04-28,"₹3,216",ELECTRICITY - Electricity bill AHM
2025-11-28,"₹1,311",AIRTEL - Airtel broadband bill POS/70EN48
2025-04-25,"₹8,536",GOIBIBO - Goibibo booking ONLINE/0K36FA
2025-01-11,"₹3,139.12",GITHUB - GitHub subscription
2025-05-14,₹292.10,NETFLIX - Netflix subscription Txn SAUUJ02GRXPU
2025-05-21,₹150,IRCTC - IRCTC train booking UPI/9VSYXB
2025-04-21,171,ICICI - ICICI bank fee AHM
2025-10-20,₹587,SPOTIFY - Spotify subscription DEL
2025-04-02,₹263,SWIGGY - Swiggy food order Ref AG3APTM9X7
2025-10-24,"8,307.45 INR",GOOGLE CLOUD - Google Cloud billing BLR
2025-12-12,"₹34,848",GOOGLE ADS - Google ads spend POS/0VG4WF
2025-05-17,"12,906",AWS - AWS cloud charges AHM
2025-10-18,"₹2,217.02",ZOOM - Zoom subscription DEL
2025-07-29,200,NOTION - Notion subscription MUM
2025-12-30,"₹1,066",RELIANCE FRESH - Reliance Fresh groceries AHM
2025-12-10,"8,114 INR",MAKEMYTRIP - MakeMyTrip booking ONLINE/M7DBFP
2025-06-03,"7,752",GOOGLE CLOUD - Google Cloud billing POS/WE77NT
2025-09-14,87,OLA - Ola ride
2025-07-30,471,IRCTC - IRCTC train booking ONLINE/V4BKTC
2025-01-19,"1,200",MAKEMYTRIP - MakeMyTrip booking
2025-07-13,200 INR,AIRTEL - Airtel broadband bill
2025-09-21,"18,543.34",INDIGO - IndiGo flight UPI/MVH0EQ
2025-06-11,"5,280",VISTARA - Vistara flight MUM
2025-11-17,"₹6,117",LEGAL - Legal services Payment 4DA7D0
2025-09-12,₹78,ICICI - ICICI bank fee
2025-10-18,"2,338",AIRTEL - Airtel broadband bill UPI/UA09W1
2025-06-14,"₹1,202",GITHUB - GitHub subscription DEL
2025-11-26,₹684,FREELANCER - Freelance services Ref Q3P87JH4Z8
2025-05-27,"2,680.63 INR",SLACK - Slack subscription AHM
2025-07-14,"₹15,729",GOOGLE CLOUD - Google Cloud billing DEL
2025-09-18,215 INR,HDFC - HDFC bank charge Txn 5X0HC8CAH3GD
2025-12-08,₹847,ADOBE - Adobe subscription Ref 6GBXQJ7DPF
2025-06-07,"10,882 INR",GOIBIBO - Goibibo booking Payment NAMZ61
2025-01-14,"2,332",FLIPKART - Flipkart office supplies DEL
2025-07-20,419.50 INR,NETFLIX - Netflix subscription Payment YHETKD
2025-08-03,"5,488",LEGAL - Legal services Ref TN5PEPL7ZQ
2025-02-11,200,BIGBASKET - BigBasket groceries BLR
2025-03-28,"₹9,118",GOIBIBO - Goibibo booking AHM
2025-01-27,"₹13,223",NEFT - NEFT transfer Ref CB0IXRYLI1
2025-06-22,"2,863",MICROSOFT - Microsoft 365 Ref U5MY80TGH3
2025-02-15,"₹7,238",AWS - AWS cloud charges UPI/8JBBSX
2025-05-29,470,SWIGGY - Swiggy food order AHM
2025-07-06,"2,431",ELECTRICITY - Electricity bill Ref KHE9I0HN3F
2025-03-10,"₹1,200",GOIBIBO - Goibibo booking ONLINE/ABMWUO
2025-08-27,"1,997",ATLASSIAN - Atlassian Jira Ref 5EWFWBEBY4
2025-07-20,"₹1,200",GOIBIBO - Goibibo booking MUM
2025-07-20,649,ELECTRICITY - Electricity bill AHM
2025-10-18,200,GAS - Gas bill ONLINE/0PK5LM
2025-04-12,50 INR,IMPS - IMPS transfer DEL
2025-11-26,"2,480 INR",SLACK - Slack subscription MUM
2025-03-21,"1,792",SLACK - Slack subscription DEL
2025-07-17,"9,364.46",VISTARA - Vistara flight DEL
2025-02-28,318 INR,OLA - Ola ride Payment 1JLMFL
2025-06-25,"4,303",IMPS - IMPS transfer MUM
2025-08-11,"2,462 INR",AMAZON - Amazon office supplies Payment D2V1L1
2025-06-08,"3,679",IMPS - IMPS transfer AHM
2025-05-11,₹653,WATER - Water bill AHM
2025-01-15,"12,167",GOIBIBO - Goibibo booking Txn 7S7O4YC3S0DP
2025-07-29,200,ADOBE - Adobe subscription UPI/QW3B4N
2025-02-03,"4,005",FLIPKART - Flipkart office supplies Payment FKVZS8
2025-04-06,726,ZOMATO - Zomato food order UPI/DTOHRN
2025-08-24,834.91,ADOBE - Adobe subscription DEL
2025-12-25,"3,014 INR",MICROSOFT - Microsoft 365 DEL
2025-11-20,"4,511 INR",UPI - UPI transfer
2025-03-14,"1,229",SLACK - Slack subscription UPI/B48WUM
2025-07-17,828.53,AIRTEL - Airtel broadband bill Ref DH9UGF10OO
2025-03-03,₹439.55,SLACK - Slack subscription Payment N285TZ
2025-05-28,"₹8,603",FREELANCER - Freelance services ONLINE/JJBFSA
2025-08-31,₹150,FLIPKART - Flipkart office supplies POS/RNYCIH
2025-08-29,"1,251.77",DMART - DMart groceries Payment DHTHRU
2025-02-23,"1,389 INR",WATER - Water bill
2025-06-09,127,DOMINOS - Dominos pizza POS/291AZH
2025-03-30,807 INR,KFC - KFC meal POS/PLTXU3
2025-01-29,"6,350.93",AMAZON - Amazon office supplies BLR
2025-01-09,₹281,OLA - Ola ride MUM
2025-05-04,"₹1,579",GAS - Gas bill MUM
2025-06-25,314 INR,IRCTC - IRCTC train booking ONLINE/IPC8QO
2025-03-22,418,ZOMATO - Zomato food order
2025-04-25,563 INR,UPI - UPI transfer DEL
2025-09-19,204 INR,HDFC - HDFC bank charge Txn 41F7V4K88K68
2025-02-28,"1,484",RELIANCE FRESH - Reliance Fresh groceries Txn SS1VIP3TVF51
2025-07-10,"₹2,094",ATLASSIAN - Atlassian Jira UPI/D4XDD8
2025-05-13,₹176,OLA - Ola ride Txn QBQ9J2H1TLOM
2025-12-22,617 INR,DMART - DMart groceries DEL
2025-08-12,"₹2,010",NEFT - NEFT transfer
2025-12-20,"5,633",GOOGLE CLOUD - Google Cloud billing MUM
2025-11-22,₹717,ZOMATO - Zomato food order Txn CQDJ5CUYDA9A
2025-02-06,"1,237",ZOOM - Zoom subscription MUM
2025-08-30,"₹9,958",GOIBIBO - Goibibo booking AHM
2025-04-30,664,STARBUCKS - Starbucks coffee POS/XIWE6R
2025-10-12,"15,286 INR",MAKEMYTRIP - MakeMyTrip booking DEL
2025-02-02,61,ICICI - ICICI bank fee POS/Q7FTMF
2025-02-27,"2,546",JIO - Jio fiber bill UPI/OXHFDX
2025-10-12,"₹6,236",FREELANCER - Freelance services Txn TWBDCA75LD7M
2025-05-10,312,NETFLIX - Netflix subscription
2025-04-02,"2,108",ADOBE - Adobe subscription Txn 7AUKHQNZJNNS
2025-03-25,50,UBER - Uber trip POS/ZQ0V4P
2025-01-15,₹247,KFC - KFC meal BLR
2025-10-08,"3,505 INR",AMAZON - Amazon office supplies
2025-05-25,"₹15,965",CA CONSULT - CA consultation POS/ZV3IU6
2025-01-27,"₹1,864",ATLASSIAN - Atlassian Jira Payment L7QHVK
2025-06-30,571.88 INR,ZOMATO - Zomato food order DEL
2025-01-15,96,OLA - Ola ride BLR
2025-06-15,"₹1,165",BIGBASKET - BigBasket groceries Ref END7H10KYH
2025-08-02,₹200,MICROSOFT - Microsoft 365 ONLINE/BPQGA6
2025-07-24,288,OLA - Ola ride
2025-12-04,"1,038",DOMINOS - Dominos pizza ONLINE/FY1Z68
2025-04-12,852.89,BIGBASKET - BigBasket groceries BLR
2025-02-10,"9,477",AWS - AWS cloud charges Txn YBSCGJU2T0JE
2025-08-30,"1,935 INR",GOIBIBO - Goibibo booking Payment ZAC2EX
2025-03-18,106,HDFC - HDFC bank charge DEL
2025-05-23,₹791,GITHUB - GitHub subscription BLR
2025-11-01,"1,640 INR",ATLASSIAN - Atlassian Jira
2025-07-23,"19,922.67",META ADS - Meta ads spend UPI/IWUJT4
2025-11-14,336,STARBUCKS - Starbucks coffee Ref KAYP44QI4O
2025-01-22,"4,455",AIRTEL - Airtel broadband bill Ref MAPQPPMJ6J
2025-12-28,"2,380",DMART - DMart groceries BLR
2025-08-31,"1,036 INR",NOTION - Notion subscription Ref G4EBC94E6N
2025-08-09,"3,761",FLIPKART - Flipkart office supplies UPI/1B20UC
2025-05-30,"3,042",WATER - Water bill POS/SKV6IA
2025-07-21,₹217,ADOBE - Adobe subscription MUM
2025-11-28,301,STARBUCKS - Starbucks coffee ONLINE/4XZ3MS
2025-01-24,175 INR,NETFLIX - Netflix subscription UPI/6XNOMB
2025-06-26,639 INR,NOTION - Notion subscription Payment V8C3PQ
2025-12-20,"9,972.09 INR",UPI - UPI transfer ONLINE/47O0GX
2025-07-05,₹410.37,KFC - KFC meal
2025-08-25,"17,601",GOOGLE CLOUD - Google Cloud billing ONLINE/VUEER9
2025-03-28,110,ICICI - ICICI bank fee Ref K4BK8EJNFM
2025-10-20,"1,427",ZOOM - Zoom subscription ONLINE/4RIPWN
2025-08-19,"2,505 INR",ADOBE - Adobe subscription ONLINE/NSJX4F
2025-12-11,₹376,WATER - Water bill ONLINE/JNJD5S
2025-10-28,"₹2,495",ADOBE - Adobe subscription POS/TRPUYD
2025-01-10,200 INR,MICROSOFT - Microsoft 365 POS/U7JPMM
2025-06-20,"₹1,377.92",DMART - DMart groceries AHM
2025-10-11,"1,161",NOTION - Notion subscription
2025-07-26,286 INR,ICICI - ICICI bank fee Ref 0LFJ4B121Y
2025-11-30,"₹1,493.55",SLACK - Slack subscription DEL
2025-04-29,₹248,SWIGGY - Swiggy food order
2025-02-28,"₹1,521",MICROSOFT - Microsoft 365 MUM
2025-06-30,10 INR,HDFC - HDFC bank charge Txn LI54087WS1LO
2025-08-05,"2,808",ELECTRICITY - Electricity bill DEL
2025-10-21,"₹8,255",GOIBIBO - Goibibo booking DEL
2025-10-28,61 INR,HDFC - HDFC bank charge ONLINE/Y14DSF
2025-12-24,₹280.65,OLA - Ola ride Payment KAMOX9
2025-10-17,"5,934",CA CONSULT - CA consultation Ref MT4FVMYPJ2
2025-03-17,413,SWIGGY - Swiggy food order BLR
2025-01-01,"9,483 INR",INDIGO - IndiGo flight Payment 6TLV0G
2025-08-08,421 INR,SLACK - Slack subscription AHM
2025-06-10,"1,904",RELIANCE FRESH - Reliance Fresh groceries Payment ULOQVB
2025-11-20,100,ICICI - ICICI bank fee Txn 8YI4PZZJ8XKV
2025-01-19,"9,786",CA CONSULT - CA consultation AHM
2025-12-10,"10,356 INR",CA CONSULT - CA consultation AHM
2025-03-06,500,META ADS - Meta ads spend AHM
2025-11-01,80 INR,STARBUCKS - Starbucks coffee Payment 524KSK
2025-09-24,831,SWIGGY - Swiggy food order AHM
2025-10-09,"21,088.35",GOOGLE ADS - Google ads spend
2025-08-09,150,AMAZON - Amazon office supplies
2025-09-28,150,AMAZON - Amazon office supplies Payment 5TG5JT
2025-12-30,490 INR,SPOTIFY - Spotify subscription Payment AKRX0G
2025-10-04,"₹1,397",DMART - DMart groceries DEL
2025-11-30,"₹1,200",GOIBIBO - Goibibo booking UPI/C0X2HY
2025-08-27,208 INR,OLA - Ola ride UPI/53YXHZ
2025-06-07,₹559,ADOBE - Adobe subscription UPI/S3YQFB
2025-09-20,₹655,SWIGGY - Swiggy food order Payment VXEJAX
2025-06-08,₹909,ADOBE - Adobe subscription ONLINE/R8RUI3
2025-02-05,"₹5,419",NEFT - NEFT transfer Txn QS3TGDBFXA2W
2025-11-06,74,ICICI - ICICI bank fee AHM
2025-04-28,"1,245",RELIANCE FRESH - Reliance Fresh groceries UPI/X57ZKV
2025-09-28,52,UBER - Uber trip ONLINE/I7LSO2
2025-06-03,₹857,SWIGGY - Swiggy food order Payment ZUZTLS
2025-06-01,"₹1,185",ZOOM - Zoom subscription ONLINE/AAXU3K
2025-06-13,220 INR,SBI - SBI service charge MUM
2025-02-18,₹475,NETFLIX - Netflix subscription MUM
2025-10-20,"12,190",AWS - AWS cloud charges POS/54CFG7
2025-05-18,"₹2,111",ADOBE - Adobe subscription ONLINE/ZWDC5P
2025-11-16,237,NETFLIX - Netflix subscription BLR
2025-05-05,"₹2,328.75",NOTION - Notion subscription Txn 9XRO37U9SSBU
2025-01-19,"₹2,444",GITHUB - GitHub subscription Txn P14XHL5V32BH
2025-10-15,935 INR,RELIANCE FRESH - Reliance Fresh groceries AHM
2025-05-16,"₹1,952",AMAZON - Amazon office supplies AHM
2025-07-15,"₹23,147",META ADS - Meta ads spend AHM
2025-06-09,103,SBI - SBI service charge BLR
2025-10-27,"1,875",MAKEMYTRIP - MakeMyTrip booking ONLINE/ZJKTHK
2025-07-28,443.19 INR,JIO - Jio fiber bill ONLINE/2ZQOYG
2025-05-30,"9,145 INR",MAKEMYTRIP - MakeMyTrip booking POS/4DPGEV
2025-07-27,"1,518",ZOOM - Zoom subscription
2025-01-12,749 INR,ZOMATO - Zomato food order POS/ZF2L4C
2025-12-14,₹74.25,UBER - Uber trip POS/GAYQMG
2025-12-26,₹971,WATER - Water bill Ref D20GM62S60
2025-08-19,493.72,NETFLIX - Netflix subscription UPI/C98UZZ
2025-08-14,"₹5,862",GOOGLE ADS - Google ads spend Ref P5OOA9CZV7
2025-09-06,₹393,MICROSOFT - Microsoft 365 ONLINE/E5EKFH
2025-06-29,₹422.20,SPOTIFY - Spotify subscription BLR
2025-05-23,"2,922.36 INR",UPI - UPI transfer ONLINE/3GOF2N
2025-08-27,642,ZOMATO - Zomato food order DEL
2025-05-14,₹150,AMAZON - Amazon office supplies POS/MFPTA7
2025-01-14,376 INR,SWIGGY - Swiggy food order POS/M6XHIG
2025-10-03,"4,588",GOOGLE CLOUD - Google Cloud billing UPI/43T6UU
2025-09-10,"₹1,036",DOMINOS - Dominos pizza POS/2CXTJY
2025-01-25,"₹1,470",AIRTEL - Airtel broadband bill Txn 2BLU27XNPZCU
2025-01-25,₹393,DOMINOS - Dominos pizza POS/PIWHWU
2025-04-02,403,SWIGGY - Swiggy food order
2025-11-12,"9,819",GOOGLE CLOUD - Google Cloud billing Payment V48JUK
2025-09-23,"1,242",ATLASSIAN - Atlassian Jira UPI/6UEYER
2025-02-25,"₹3,208",CA CONSULT - CA consultation
2025-06-05,"₹1,200",GOIBIBO - Goibibo booking POS/BHLFT2
2025-03-21,₹654,ZOMATO - Zomato food order Ref WIEEO9H5IH
2025-04-11,"₹13,190",MAKEMYTRIP - MakeMyTrip booking UPI/7GJNXI
2025-11-04,"2,305",ADOBE - Adobe subscription ONLINE/51RGFR
2025-09-13,526,DOMINOS - Dominos pizza MUM
2025-01-14,"₹1,506.36",FLIPKART - Flipkart office supplies Ref 2FMFP5MD3E
2025-03-03,₹185,IRCTC - IRCTC train booking BLR
2025-03-20,"3,024 INR",ZOOM - Zoom subscription POS/VVWUSX
2025-08-30,₹619,KFC - KFC meal UPI/P3174G
2025-06-22,"1,665",JIO - Jio fiber bill Txn ZFY40I6QV4TL
2025-09-13,"6,671 INR",GOOGLE CLOUD - Google Cloud billing Ref UTIYMR0AZ0
2025-02-21,179,SBI - SBI service charge ONLINE/49FFQO
2025-02-11,"1,451",GOOGLE CLOUD - Google Cloud billing DEL
2025-01-17,"₹3,423",FLIPKART - Flipkart office supplies ONLINE/71G4EA
2025-04-07,"₹2,767",FLIPKART - Flipkart office supplies UPI/EGD572
2025-08-20,"3,392",SLACK - Slack subscription UPI/0E2QMK
2025-03-20,"1,133.71",WATER - Water bill ONLINE/7VO79I
2025-03-10,"₹10,076",AWS - AWS cloud charges DEL
2025-03-28,"₹13,833",IMPS - IMPS transfer Txn K87322HR5SOS
2025-06-01,"1,811",GAS - Gas bill MUM
2025-07-30,₹820,BIGBASKET - BigBasket groceries DEL
2025-09-18,"11,031 INR",IMPS - IMPS transfer BLR
2025-08-08,"4,630.50 INR",UPI - UPI transfer MUM
2025-11-25,422,GAS - Gas bill Ref 8IIO1Q3DZV
2025-06-18,"3,736.46",CA CONSULT - CA consultation BLR
2025-09-23,259.12,ZOMATO - Zomato food order Ref UH8VAQVBDI
2025-12-17,652 INR,DOMINOS - Dominos pizza DEL
2025-01-10,"6,841",NEFT - NEFT transfer ONLINE/U0T369
2025-05-04,₹103,ICICI - ICICI bank fee POS/ZOIEAS
2025-08-01,409,ZOMATO - Zomato food order
2025-08-10,465.16,UBER - Uber trip MUM
2025-01-18,71.04,OLA - Ola ride POS/B00G9E
2025-05-31,"₹1,995",NOTION - Notion subscription Payment 7284JC
2025-03-27,889 INR,GAS - Gas bill MUM
2025-08-01,"1,837 INR",DMART - DMart groceries Ref TQAYIIY2S5
2025-03-29,518,DMART - DMart groceries MUM
2025-04-28,80,KFC - KFC meal UPI/EHMIQP
